1320.6,4782.3,39467
1319.9,4751.2,39466
1319.9,4757.8,39463
1319.2,4805.5,39462
1319.2,4808,39459
1318.5,4799.3,39454
1318.5,4767,39451
1317.8,4781.2,39436
1317.8,4855.2,39440
1317.1,4844.2,39436
1317.1,4822.2,39422
1316.4,4796.4,39421
1316.4,4768.8,39410
1315.7,4759.8,39396
1315.7,4789.5,39386
1315,4808.8,39375
1315,4798,39358
1314.3,4776.2,39349
1314.3,4803.4,39339
1313.6,4782.7,39314
1313.6,4825.3,39313
1312.9,4830.6,39297
1312.9,4866.1,39278
1312.2,4873.6,39280
1312.2,4857.5,39276
1311.5,4841.2,39271
1311.5,4820.4,39277
1310.9,4801.3,39278
1310.9,4781.2,39284
1310.2,4757.6,39301
1310.1,4801.9,39312
1310.1,4818.8,39324
1309.5,4794,39342
1309.5,4781.7,39350
1308.8,4735.9,39357
1308.8,4734.3,39372
1308.1,4767.7,39381
1308.1,4775.9,39385
1307.4,4750.6,39392
1307.4,4747.5,39393
1306.7,4751.1,39389
1306.7,4753.1,39389
1306,4755.5,39383
1306,4737.8,39367
1305.3,4724,39365
1305.3,4730.1,39349
1304.6,4748.6,39335
1304.6,4761.3,39323
1303.9,4759.1,39309
1303.9,4734.4,39284
1303.2,4715.1,39280
1303.2,4722.6,39267
1302.5,4716.8,39253
1302.5,4715.3,39250
1301.8,4680.6,39240
1301.8,4671.2,39236
1301.1,4676.2,39232
1301.1,4687,39232
1300.4,4690.1,39223
1300.4,4687.2,39225
1299.7,4696.4,39232
1299.7,4696.5,39226
1299,4714.6,39228
1299,4709.7,39226
1298.3,4703.8,39231
1298.3,4704.6,39232
1297.6,4700.1,39231
1297.6,4738.7,39239
1297,4772.2,39244
1297,4747.8,39251
1296.3,4723.2,39251
1296.2,4716.7,39266
1296.2,4716.8,39270
1295.6,4726.8,39274
1295.6,4783.3,39296
1294.9,4794.1,39310
1294.9,4744.3,39320
1294.2,4763.8,39347
1294.2,4753,39365
1293.5,4722.8,39373
1293.5,4680.7,39404
1292.8,4682.2,39426
1292.8,4713.4,39443
1292.1,4703.5,39469
1292.1,4707.1,39492
1291.4,4697,39501
1291.4,4704,39521
1290.7,4711,39534
1290.7,4784.1,39537
1290,4839.8,39559
1290,4828,39563
