PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P566
Station name, Visalia_MYCS2005
Begin Date, 2005-11-16
End Date, 2019-11-22
Release Date, 2019-11-23
Source file, P566.cwu.nam14.pos
Offset from source file, 62.17 mm North, -73.30 mm East, -82.02 mm Vertical
Reference position, 36.3244546817 North Latitude, -119.2292876213 East Longitude, 78.14754 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-16,0.00, 0.00, 0.00, 2.11, 1.71, 7.7, repro,
2005-11-17,0.42, -1.76, 0.69, 2.02, 1.61, 7.36, repro,
2005-11-18,0.18, -0.66, 5.47, 2, 1.62, 7.35, repro,
2005-11-19,0.56, -0.87, 4.77, 2.02, 1.62, 7.37, repro,
2005-11-20,-0.09, -1.13, -3.58, 2.04, 1.65, 7.46, repro,
2005-11-21,0.11, -1.87, 6.85, 2.13, 1.69, 7.86, repro,
2005-11-22,0.07, -1.41, 4.50, 2.1, 1.73, 7.77, repro,
2005-11-23,0.44, -1.36, 9.25, 2.04, 1.65, 7.45, repro,
2005-11-24,-0.67, -0.84, 6.60, 2.01, 1.63, 7.42, repro,
2005-11-25,0.42, -1.74, 8.56, 2.04, 1.67, 7.55, repro,
2005-11-26,1.15, -2.57, 6.69, 2.14, 1.75, 7.9, repro,
2005-11-27,0.11, -1.03, 8.80, 2.06, 1.67, 7.59, repro,
2005-11-28,0.84, -0.63, 1.99, 2.11, 1.73, 7.8, repro,
2005-11-29,0.13, -1.41, 7.14, 2.06, 1.67, 7.52, repro,
2005-11-30,1.04, -1.20, 4.83, 2.06, 1.7, 7.61, repro,
2005-12-01,0.15, -1.51, 2.86, 2.05, 1.64, 7.42, repro,
2005-12-02,-0.36, -1.95, 2.54, 2.06, 1.65, 7.45, repro,
2005-12-03,0.61, -1.69, 3.05, 2.05, 1.64, 7.42, repro,
2005-12-04,1.15, -0.78, 0.02, 2.04, 1.65, 7.41, repro,
2005-12-05,0.62, -1.21, -1.38, 2.04, 1.65, 7.44, repro,
2005-12-06,0.25, -1.55, -1.66, 2.07, 1.63, 7.47, repro,
2005-12-07,0.34, -1.72, -0.68, 2.06, 1.69, 7.54, repro,
2005-12-08,0.06, -1.96, 4.46, 2.08, 1.69, 7.63, repro,
2005-12-09,2.44, -1.10, -0.20, 2.06, 1.65, 7.52, repro,
2005-12-10,-0.08, -1.69, 1.29, 2.03, 1.65, 7.44, repro,
2005-12-11,0.51, -2.06, 6.77, 2, 1.61, 7.31, repro,
2005-12-12,1.05, -1.32, -1.98, 2.01, 1.61, 7.32, repro,
2005-12-13,0.12, -1.49, 9.05, 2.01, 1.61, 7.35, repro,
2005-12-14,1.55, -1.54, -0.85, 2.04, 1.64, 7.42, repro,
2005-12-15,1.05, -2.52, -0.57, 2.1, 1.68, 7.65, repro,
2005-12-16,0.58, -2.83, 4.90, 2.01, 1.61, 7.37, repro,
2005-12-17,0.79, -2.68, 5.82, 2.09, 1.72, 7.66, repro,
2005-12-18,1.27, -2.74, 9.68, 2.03, 1.74, 7.45, repro,
2005-12-19,0.86, -1.70, -0.58, 2.21, 1.81, 7.94, repro,
2005-12-20,2.28, -0.50, -3.66, 2.07, 1.73, 7.58, repro,
2005-12-21,1.46, -1.60, 2.46, 2.07, 1.76, 7.58, repro,
2005-12-22,1.75, -2.47, 5.48, 2.09, 1.82, 7.66, repro,
2005-12-23,1.48, -2.93, 1.91, 2.11, 1.74, 7.6, repro,
2005-12-24,1.03, -2.51, 3.68, 2.23, 1.86, 8.11, repro,
2005-12-25,0.79, -1.80, 5.18, 2.08, 1.71, 7.53, repro,
2005-12-26,1.23, -2.05, 11.83, 2.24, 1.85, 8.05, repro,
2005-12-27,1.76, -2.45, 4.47, 2.19, 1.8, 8.04, repro,
2005-12-28,-0.74, -2.77, -4.36, 2.06, 1.67, 7.43, repro,
2005-12-29,1.46, -2.28, 1.94, 2.22, 1.83, 8.15, repro,
2005-12-30,0.01, -1.63, 10.12, 2.24, 1.85, 8.15, repro,
2005-12-31,1.53, -2.64, 10.81, 2.18, 1.78, 7.93, repro,
2006-01-01,2.38, -2.83, 4.44, 2.2, 1.81, 8.02, repro,
2006-01-02,0.75, -2.45, 7.96, 2.11, 1.69, 7.51, repro,
2006-01-03,1.88, -2.29, 4.85, 2.32, 2.02, 8.48, repro,
2006-01-04,2.03, -1.72, 0.67, 2.26, 1.96, 8.32, repro,
2006-01-05,2.95, -1.41, -4.39, 2.13, 1.78, 7.71, repro,
2006-01-06,3.20, -2.35, -0.32, 2.25, 1.84, 8.16, repro,
2006-01-07,2.54, -2.47, 7.76, 2.1, 1.73, 7.56, repro,
2006-01-08,2.72, -2.21, -3.85, 2.12, 1.78, 7.65, repro,
2006-01-09,1.69, -2.32, 4.00, 2.18, 1.82, 7.97, repro,
2006-01-10,2.38, -1.74, 0.33, 2.18, 1.82, 7.92, repro,
2006-01-11,3.15, -2.41, 3.70, 2.19, 1.81, 7.92, repro,
2006-01-12,2.93, -3.15, 5.53, 2.16, 1.79, 7.72, repro,
2006-01-13,2.35, -1.69, 3.30, 2.28, 1.91, 8.4, repro,
2006-01-14,2.93, -2.81, 2.10, 2.13, 1.68, 7.65, repro,
2006-01-15,2.00, -2.38, 6.57, 2.04, 1.64, 7.34, repro,
2006-01-16,3.10, -3.39, 0.31, 2.17, 1.82, 7.73, repro,
2006-01-17,3.29, -2.85, -0.97, 2.15, 1.77, 7.71, repro,
2006-01-18,4.47, -2.80, 0.12, 2.07, 1.66, 7.49, repro,
2006-01-19,1.91, -1.82, 4.76, 2.11, 1.66, 7.67, repro,
2006-01-20,1.73, -2.67, -7.12, 2.07, 1.64, 7.53, repro,
2006-01-21,3.33, -2.07, -2.96, 2.06, 1.66, 7.39, repro,
2006-01-22,2.66, -2.73, -3.95, 2.05, 1.61, 7.28, repro,
2006-01-23,3.21, -3.04, -0.77, 2.11, 1.67, 7.5, repro,
2006-01-24,2.82, -2.18, -5.07, 2.09, 1.64, 7.53, repro,
2006-01-25,2.42, -1.84, -3.38, 1.96, 1.57, 7.13, repro,
2006-01-26,2.56, -3.27, -5.71, 1.98, 1.58, 7.18, repro,
2006-01-27,2.97, -3.37, -2.32, 1.98, 1.58, 7.17, repro,
2006-01-28,2.40, -3.12, -6.51, 1.98, 1.57, 7.17, repro,
2006-01-29,2.74, -1.44, -7.22, 1.99, 1.58, 7.22, repro,
2006-01-30,2.42, -1.98, -6.77, 2.01, 1.59, 7.35, repro,
2006-01-31,2.69, -2.65, -2.05, 2, 1.59, 7.31, repro,
2006-02-01,2.70, -3.69, -4.00, 2.02, 1.6, 7.34, repro,
2006-02-02,3.58, -2.62, -0.78, 2.01, 1.59, 7.31, repro,
2006-02-03,3.03, -3.30, -0.66, 2.06, 1.64, 7.47, repro,
2006-02-04,2.99, -3.87, 0.36, 2.05, 1.62, 7.43, repro,
2006-02-05,2.08, -3.23, -4.10, 2, 1.57, 7.32, repro,
2006-02-06,2.44, -2.86, -8.42, 2.05, 1.64, 7.49, repro,
2006-02-07,4.34, -2.30, -8.67, 2.05, 1.64, 7.5, repro,
2006-02-08,4.03, -3.16, -11.08, 1.98, 1.56, 7.21, repro,
2006-02-09,3.37, -3.18, -7.63, 2.06, 1.58, 7.5, repro,
2006-02-10,2.87, -2.90, -10.02, 2.13, 1.59, 7.58, repro,
2006-02-11,2.39, -2.32, -13.51, 2.02, 1.58, 7.36, repro,
2006-02-12,3.73, -2.61, -12.10, 2.02, 1.57, 7.36, repro,
2006-02-13,3.58, -3.23, -7.05, 2.07, 1.62, 7.53, repro,
2006-02-14,2.80, -3.25, -0.68, 2, 1.57, 7.38, repro,
2006-02-15,2.30, -3.68, -0.12, 1.98, 1.55, 7.24, repro,
2006-02-16,3.11, -3.74, -6.01, 2, 1.55, 7.25, repro,
2006-02-17,3.40, -3.59, -3.57, 2.02, 1.57, 7.35, repro,
2006-02-18,3.29, -3.65, -6.76, 2.01, 1.59, 7.35, repro,
2006-02-19,2.94, -3.05, -6.82, 2.02, 1.58, 7.36, repro,
2006-02-20,3.51, -2.94, -2.63, 1.98, 1.56, 7.25, repro,
2006-02-21,3.48, -3.75, -2.47, 1.99, 1.56, 7.24, repro,
2006-02-22,4.10, -2.46, 1.25, 2, 1.57, 7.3, repro,
2006-02-23,3.75, -2.75, -4.65, 2.04, 1.62, 7.46, repro,
2006-02-24,3.44, -3.32, -3.67, 2.01, 1.59, 7.35, repro,
2006-02-25,3.53, -2.78, -5.14, 2, 1.58, 7.3, repro,
2006-02-26,2.00, -3.31, -4.23, 2, 1.59, 7.39, repro,
2006-02-27,3.04, -3.83, -4.05, 2.01, 1.6, 7.39, repro,
2006-02-28,3.73, -1.91, -3.74, 2.04, 1.62, 7.45, repro,
2006-03-01,3.78, -3.25, -5.72, 2.11, 1.7, 7.67, repro,
2006-03-02,3.33, -3.48, -4.73, 2, 1.6, 7.33, repro,
2006-03-03,3.61, -3.46, -0.63, 2.08, 1.61, 7.62, repro,
2006-03-04,3.69, -3.87, -8.31, 1.98, 1.6, 7.26, repro,
2006-03-05,4.33, -3.24, -1.92, 1.99, 1.59, 7.3, repro,
2006-03-06,4.85, -2.46, -10.64, 1.98, 1.6, 7.3, repro,
2006-03-07,5.22, -3.71, 0.50, 1.99, 1.59, 7.32, repro,
2006-03-08,3.85, -2.77, 1.71, 1.98, 1.59, 7.27, repro,
2006-03-09,3.98, -4.55, 4.00, 1.98, 1.59, 7.27, repro,
2006-03-10,3.15, -4.62, 4.26, 1.98, 1.59, 7.32, repro,
2006-03-11,4.36, -3.72, 4.44, 2.02, 1.61, 7.4, repro,
2006-03-12,4.53, -4.04, -4.41, 2.01, 1.6, 7.34, repro,
2006-03-13,4.20, -3.59, -4.74, 2.01, 1.6, 7.29, repro,
2006-03-14,3.44, -3.64, 0.47, 2.03, 1.62, 7.42, repro,
2006-03-15,3.79, -3.49, -7.19, 2.02, 1.62, 7.46, repro,
2006-03-16,3.33, -3.98, -14.42, 2.08, 1.65, 7.54, repro,
2006-03-17,5.04, -4.24, -2.59, 2.07, 1.66, 7.54, repro,
2006-03-18,4.79, -4.80, -9.53, 2.01, 1.62, 7.32, repro,
2006-03-19,3.20, -3.87, -3.02, 1.99, 1.62, 7.28, repro,
2006-03-20,3.82, -4.70, -6.17, 2, 1.64, 7.35, repro,
2006-03-21,4.47, -3.50, -5.32, 2.01, 1.64, 7.44, repro,
2006-03-22,4.68, -4.06, -9.66, 2.02, 1.65, 7.44, repro,
2006-03-23,4.10, -4.21, -11.08, 2.07, 1.65, 7.56, repro,
2006-03-24,4.90, -3.65, -9.36, 2.07, 1.65, 7.57, repro,
2006-03-25,5.48, -3.66, 5.40, 2.08, 1.68, 7.66, repro,
2006-03-26,4.25, -4.06, -5.55, 2.06, 1.66, 7.56, repro,
2006-03-27,3.82, -5.28, -0.36, 2.08, 1.68, 7.67, repro,
2006-03-28,5.96, -4.20, 3.96, 2, 1.65, 7.45, repro,
2006-03-29,5.17, -5.57, -1.56, 1.94, 1.61, 7.26, repro,
2006-03-30,3.85, -4.69, -0.74, 1.93, 1.59, 7.18, repro,
2006-03-31,4.97, -5.26, -3.98, 1.96, 1.61, 7.29, repro,
2006-04-01,5.32, -5.32, 0.68, 1.96, 1.61, 7.33, repro,
2006-04-02,5.18, -4.10, -4.26, 1.97, 1.61, 7.32, repro,
2006-04-03,4.36, -4.70, -4.94, 1.95, 1.61, 7.27, repro,
2006-04-04,5.22, -5.52, -1.88, 1.97, 1.61, 7.37, repro,
2006-04-05,4.48, -4.82, 2.17, 1.98, 1.65, 7.54, repro,
2006-04-06,6.00, -5.94, -5.30, 1.98, 1.65, 7.47, repro,
2006-04-07,4.88, -4.73, -8.42, 2.05, 1.66, 7.58, repro,
2006-04-08,5.72, -5.18, -3.51, 2.09, 1.64, 7.7, repro,
2006-04-09,6.10, -5.13, -9.83, 1.95, 1.61, 7.34, repro,
2006-04-10,5.70, -5.75, -1.34, 1.94, 1.6, 7.28, repro,
2006-04-11,5.83, -5.44, 5.12, 2.02, 1.64, 7.66, repro,
2006-04-12,5.97, -4.40, -1.87, 2.02, 1.64, 7.62, repro,
2006-04-13,5.99, -4.93, -3.88, 1.96, 1.61, 7.34, repro,
2006-04-14,5.21, -4.66, -5.61, 1.95, 1.61, 7.31, repro,
2006-04-15,5.12, -4.53, -2.14, 2, 1.62, 7.41, repro,
2006-04-16,5.68, -4.84, -1.18, 1.95, 1.6, 7.33, repro,
2006-04-17,5.44, -5.20, -1.85, 1.95, 1.61, 7.35, repro,
2006-04-18,6.61, -5.94, -7.41, 1.97, 1.65, 7.5, repro,
2006-04-19,6.61, -4.90, -8.94, 1.96, 1.62, 7.35, repro,
2006-04-20,5.62, -5.31, -8.63, 1.97, 1.64, 7.45, repro,
2006-04-21,5.37, -5.59, -3.03, 1.95, 1.6, 7.31, repro,
2006-04-22,5.80, -5.41, 0.90, 1.98, 1.65, 7.48, repro,
2006-04-23,6.18, -6.13, -5.97, 1.99, 1.66, 7.52, repro,
2006-04-24,6.06, -5.49, -10.15, 1.98, 1.65, 7.47, repro,
2006-04-25,5.63, -5.80, -6.89, 1.98, 1.66, 7.48, repro,
2006-04-26,5.41, -5.59, -8.94, 2, 1.66, 7.56, repro,
2006-04-27,5.15, -5.83, -3.47, 2.05, 1.66, 7.56, repro,
2006-04-28,5.73, -6.09, -10.06, 2.02, 1.61, 7.42, repro,
2006-04-29,6.31, -5.24, -6.66, 1.95, 1.61, 7.36, repro,
2006-04-30,6.69, -4.84, -9.99, 1.96, 1.62, 7.36, repro,
2006-05-01,6.30, -4.96, -12.06, 1.96, 1.61, 7.34, repro,
2006-05-02,6.30, -7.76, -3.76, 1.97, 1.61, 7.43, repro,
2006-05-03,6.05, -7.27, -5.25, 1.98, 1.61, 7.43, repro,
2006-05-04,6.04, -6.00, -5.16, 1.96, 1.6, 7.35, repro,
2006-05-05,6.33, -5.96, -11.53, 1.95, 1.61, 7.35, repro,
2006-05-06,6.55, -6.58, -9.83, 1.96, 1.61, 7.35, repro,
2006-05-07,5.52, -5.96, -5.81, 1.96, 1.6, 7.33, repro,
2006-05-08,6.84, -7.28, -9.81, 1.98, 1.61, 7.47, repro,
2006-05-09,5.81, -6.49, -2.59, 2.03, 1.62, 7.54, repro,
2006-05-10,5.34, -6.04, -5.94, 1.95, 1.62, 7.39, repro,
2006-05-11,5.75, -6.51, -6.78, 1.96, 1.62, 7.39, repro,
2006-05-12,5.13, -7.30, -7.43, 1.95, 1.61, 7.3, repro,
2006-05-13,5.06, -6.12, -6.95, 2.05, 1.65, 7.8, repro,
2006-05-14,6.56, -6.63, -6.94, 1.96, 1.61, 7.42, repro,
2006-05-15,5.83, -6.18, -9.23, 1.96, 1.6, 7.38, repro,
2006-05-16,5.69, -5.79, -6.20, 2, 1.66, 7.52, repro,
2006-05-17,5.24, -6.54, 0.39, 1.99, 1.66, 7.51, repro,
2006-05-18,4.36, -5.90, 3.71, 1.97, 1.61, 7.35, repro,
2006-05-19,5.10, -5.77, 0.82, 2.11, 1.66, 7.78, repro,
2006-05-20,5.60, -7.29, 1.87, 2.05, 1.62, 7.59, repro,
2006-05-21,5.11, -6.78, -4.39, 2.1, 1.65, 7.65, repro,
2006-05-22,4.82, -5.84, 1.49, 2.04, 1.68, 7.6, repro,
2006-05-23,5.52, -5.42, -3.06, 2.03, 1.63, 7.49, repro,
2006-05-24,3.79, -7.25, -3.18, 2.02, 1.62, 7.49, repro,
2006-05-25,6.18, -6.24, -2.32, 2.16, 1.67, 7.87, repro,
2006-05-26,6.40, -6.50, -2.06, 2.11, 1.64, 7.73, repro,
2006-05-27,4.13, -7.32, 0.33, 2.03, 1.63, 7.49, repro,
2006-05-28,5.19, -5.49, 1.00, 2.06, 1.67, 7.67, repro,
2006-05-29,5.33, -5.97, -6.96, 2.05, 1.65, 7.61, repro,
2006-05-30,6.11, -6.90, 1.27, 2.07, 1.65, 7.62, repro,
2006-05-31,5.63, -6.97, -5.81, 2.12, 1.68, 7.72, repro,
2006-06-01,5.52, -7.99, -9.02, 2.07, 1.66, 7.64, repro,
2006-06-02,5.17, -7.39, -6.12, 2.17, 1.72, 7.92, repro,
2006-06-03,4.52, -5.64, -5.20, 2.11, 1.7, 7.81, repro,
2006-06-04,6.33, -6.37, -6.25, 2.09, 1.66, 7.73, repro,
2006-06-05,6.44, -7.53, 0.57, 2.12, 1.68, 7.74, repro,
2006-06-06,5.63, -6.78, 1.17, 2.1, 1.64, 7.62, repro,
2006-06-07,7.16, -7.50, -8.86, 2.09, 1.65, 7.64, repro,
2006-06-08,4.85, -6.52, -3.87, 2.04, 1.64, 7.58, repro,
2006-06-09,4.01, -6.96, -2.83, 2.11, 1.7, 7.8, repro,
2006-06-10,6.19, -6.49, -6.52, 2.12, 1.69, 7.78, repro,
2006-06-11,5.67, -7.66, -0.83, 2.06, 1.64, 7.56, repro,
2006-06-12,5.55, -7.07, -1.19, 2.1, 1.71, 7.74, repro,
2006-06-13,7.16, -6.12, -4.19, 2.08, 1.66, 7.65, repro,
2006-06-14,6.07, -7.42, -2.22, 2.03, 1.64, 7.54, repro,
2006-06-15,5.89, -6.94, 0.78, 2.06, 1.65, 7.65, repro,
2006-06-16,6.03, -7.54, -0.03, 2.06, 1.64, 7.61, repro,
2006-06-17,7.23, -6.82, -1.42, 2.03, 1.61, 7.43, repro,
2006-06-18,6.18, -9.06, 0.80, 2.06, 1.66, 7.72, repro,
2006-06-19,6.38, -6.84, -6.52, 2.06, 1.69, 7.82, repro,
2006-06-20,5.74, -6.23, -1.81, 2.06, 1.66, 7.72, repro,
2006-06-21,6.04, -6.66, 4.29, 2.06, 1.66, 7.71, repro,
2006-06-22,5.95, -8.25, 8.14, 2.06, 1.66, 7.68, repro,
2006-06-23,5.81, -7.63, -2.90, 2.05, 1.66, 7.68, repro,
2006-06-24,6.71, -8.16, -7.90, 2.07, 1.69, 7.83, repro,
2006-06-25,7.15, -7.98, -6.42, 2.07, 1.69, 7.84, repro,
2006-06-26,6.00, -8.69, -1.32, 2.06, 1.67, 7.78, repro,
2006-06-27,2.98, -8.56, 7.84, 2.07, 1.67, 7.75, repro,
2006-06-28,7.13, -8.45, -4.00, 2.05, 1.66, 7.7, repro,
2006-06-29,5.34, -7.97, -0.37, 2.01, 1.7, 7.72, repro,
2006-06-30,6.69, -7.72, 0.98, 2.03, 1.64, 7.68, repro,
2006-07-01,5.68, -7.83, 4.70, 2.02, 1.62, 7.59, repro,
2006-07-02,5.26, -6.46, -8.44, 2.05, 1.67, 7.78, repro,
2006-07-03,6.75, -8.02, -9.20, 2, 1.62, 7.57, repro,
2006-07-04,5.84, -8.20, -3.40, 2.09, 1.7, 7.84, repro,
2006-07-05,6.07, -7.19, 2.38, 2.02, 1.64, 7.64, repro,
2006-07-06,6.62, -7.41, -6.28, 2.01, 1.62, 7.56, repro,
2006-07-07,5.63, -8.19, -10.18, 2.03, 1.63, 7.7, repro,
2006-07-08,6.20, -7.83, -10.07, 2.02, 1.63, 7.67, repro,
2006-07-09,6.37, -8.82, -11.12, 2.02, 1.63, 7.66, repro,
2006-07-10,6.69, -7.73, -4.22, 2.03, 1.64, 7.65, repro,
2006-07-11,6.77, -8.25, 1.17, 2.02, 1.63, 7.65, repro,
2006-07-12,4.82, -8.15, -3.75, 2.03, 1.63, 7.68, repro,
2006-07-13,5.21, -8.49, -2.12, 2.04, 1.63, 7.71, repro,
2006-07-14,6.53, -7.83, -4.80, 2.02, 1.63, 7.67, repro,
2006-07-15,5.33, -7.62, -4.42, 2.02, 1.63, 7.66, repro,
2006-07-16,6.61, -8.40, -5.09, 2.02, 1.64, 7.7, repro,
2006-07-17,6.48, -7.85, -2.71, 2.05, 1.67, 7.93, repro,
2006-07-18,4.65, -7.20, 9.53, 1.97, 1.61, 7.42, repro,
2006-07-19,5.66, -9.67, -1.12, 1.97, 1.61, 7.41, repro,
2006-07-20,5.35, -7.77, -8.38, 2, 1.67, 7.56, repro,
2006-07-21,7.41, -8.64, -9.02, 1.95, 1.62, 7.39, repro,
2006-07-22,7.30, -8.75, -1.20, 1.95, 1.6, 7.37, repro,
2006-07-23,4.99, -7.48, 5.23, 1.98, 1.62, 7.44, repro,
2006-07-24,7.11, -7.96, 6.50, 1.99, 1.64, 7.47, repro,
2006-07-25,8.61, -9.52, 2.16, 1.97, 1.61, 7.41, repro,
2006-07-26,7.06, -8.69, -1.17, 2, 1.68, 7.56, repro,
2006-07-27,7.46, -7.86, -3.66, 1.95, 1.61, 7.35, repro,
2006-07-28,6.72, -8.11, -3.23, 1.96, 1.61, 7.44, repro,
2006-07-29,5.14, -7.17, -4.17, 2.05, 1.71, 7.73, repro,
2006-07-30,7.28, -9.17, 4.24, 2, 1.66, 7.54, repro,
2006-07-31,6.27, -9.54, 2.81, 1.95, 1.61, 7.35, repro,
2006-08-01,6.88, -8.44, 0.01, 1.94, 1.61, 7.34, repro,
2006-08-02,6.51, -8.90, -0.98, 2.02, 1.71, 7.82, repro,
2006-08-03,6.99, -8.68, -0.98, 2.03, 1.71, 7.84, repro,
2006-08-04,7.04, -9.48, -3.32, 2.04, 1.67, 7.73, repro,
2006-08-05,5.85, -8.67, -0.53, 2.03, 1.71, 7.82, repro,
2006-08-06,5.71, -9.48, -0.87, 1.99, 1.66, 7.67, repro,
2006-08-07,7.56, -8.14, -0.39, 2.01, 1.66, 7.71, repro,
2006-08-08,8.02, -9.44, -4.84, 2.01, 1.67, 7.57, repro,
2006-08-09,6.70, -7.81, -4.66, 2.01, 1.66, 7.59, repro,
2006-08-10,8.89, -9.22, -3.89, 2, 1.66, 7.53, repro,
2006-08-11,7.30, -8.62, -4.95, 1.97, 1.62, 7.41, repro,
2006-08-12,7.37, -8.51, -4.43, 1.97, 1.63, 7.44, repro,
2006-08-13,6.90, -9.28, 2.38, 2.01, 1.67, 7.58, repro,
2006-08-14,6.21, -9.15, 2.61, 2, 1.67, 7.54, repro,
2006-08-15,5.76, -7.92, 4.14, 2.07, 1.68, 7.66, repro,
2006-08-16,7.17, -8.83, -4.97, 2.03, 1.64, 7.56, repro,
2006-08-17,6.21, -8.37, -0.33, 1.99, 1.67, 7.51, repro,
2006-08-18,7.08, -8.33, -2.33, 2.04, 1.73, 7.74, repro,
2006-08-19,6.90, -8.75, -2.61, 1.95, 1.62, 7.37, repro,
2006-08-20,7.11, -8.82, -3.87, 1.95, 1.61, 7.33, repro,
2006-08-21,7.30, -8.24, -7.08, 1.96, 1.64, 7.41, repro,
2006-08-22,6.99, -9.11, -7.44, 1.97, 1.64, 7.45, repro,
2006-08-23,7.20, -8.40, 1.12, 1.98, 1.65, 7.45, repro,
2006-08-24,6.39, -9.03, 5.45, 1.98, 1.64, 7.46, repro,
2006-08-25,6.21, -7.69, 7.73, 2, 1.69, 7.7, repro,
2006-08-26,7.68, -8.74, 5.46, 2.02, 1.71, 7.77, repro,
2006-08-27,7.07, -8.94, -1.33, 2.02, 1.72, 7.81, repro,
2006-08-28,7.48, -9.57, -6.58, 2.04, 1.73, 7.83, repro,
2006-08-29,7.63, -7.77, -5.50, 2.04, 1.73, 7.87, repro,
2006-08-30,7.95, -7.68, -2.56, 2.17, 1.82, 8.28, repro,
2006-08-31,7.48, -8.98, -11.14, 2.04, 1.73, 7.86, repro,
2006-09-01,8.20, -9.08, -8.54, 2.07, 1.75, 7.95, repro,
2006-09-02,6.60, -9.77, -7.77, 2.03, 1.72, 7.8, repro,
2006-09-03,6.67, -8.31, -5.64, 2.03, 1.74, 7.86, repro,
2006-09-04,8.40, -8.57, -6.78, 2.09, 1.77, 8.07, repro,
2006-09-05,8.20, -9.28, -9.09, 2.09, 1.77, 8.03, repro,
2006-09-06,8.18, -9.58, -5.30, 2.03, 1.73, 7.85, repro,
2006-09-07,7.25, -8.85, -0.24, 2.06, 1.77, 7.96, repro,
2006-09-08,8.00, -9.39, -2.29, 2.07, 1.79, 8.02, repro,
2006-09-09,8.81, -10.28, -1.80, 2.01, 1.69, 7.62, repro,
2006-09-10,8.67, -9.22, -4.83, 2, 1.7, 7.66, repro,
2006-09-11,7.35, -8.97, -1.61, 2.01, 1.68, 7.59, repro,
2006-09-12,8.02, -10.25, -1.26, 1.99, 1.67, 7.5, repro,
2006-09-13,7.81, -9.43, 1.10, 2, 1.68, 7.57, repro,
2006-09-14,8.60, -9.56, -0.28, 2.11, 1.78, 7.93, repro,
2006-09-15,8.06, -11.48, 5.87, 2.06, 1.67, 7.67, repro,
2006-09-16,8.22, -10.05, 1.78, 1.98, 1.65, 7.49, repro,
2006-09-17,8.02, -9.54, 0.63, 1.97, 1.63, 7.4, repro,
2006-09-18,7.83, -10.15, -1.47, 1.97, 1.64, 7.45, repro,
2006-09-19,7.80, -10.91, -0.42, 1.97, 1.63, 7.38, repro,
2006-09-20,7.88, -9.77, -1.49, 1.98, 1.64, 7.45, repro,
2006-09-21,8.12, -9.95, 0.88, 2, 1.69, 7.62, repro,
2006-09-22,8.24, -9.79, 0.59, 2.09, 1.73, 7.8, repro,
2006-09-23,7.41, -10.59, -5.05, 2.02, 1.68, 7.63, repro,
2006-09-24,8.66, -10.91, -2.48, 2.15, 1.75, 8.17, repro,
2006-09-25,9.13, -10.11, -1.89, 2.12, 1.74, 8.03, repro,
2006-09-26,8.18, -10.26, 1.35, 2.04, 1.66, 7.56, repro,
2006-09-27,8.90, -10.05, -4.56, 2.1, 1.77, 7.93, repro,
2006-09-28,8.55, -10.43, -4.25, 2.08, 1.72, 7.74, repro,
2006-09-29,7.84, -10.92, -1.12, 2.06, 1.7, 7.67, repro,
2006-09-30,7.32, -11.52, 5.82, 2.01, 1.68, 7.62, repro,
2006-10-01,9.25, -10.28, -3.46, 2, 1.66, 7.55, repro,
2006-10-02,9.41, -11.43, 1.99, 2.07, 1.74, 7.78, repro,
2006-10-03,8.99, -9.38, -7.31, 2.13, 1.8, 7.96, repro,
2006-10-04,8.94, -10.62, -1.21, 2.03, 1.68, 7.61, repro,
2006-10-05,9.34, -11.46, -3.82, 2.05, 1.68, 7.81, repro,
2006-10-06,8.82, -11.04, -3.63, 2.04, 1.67, 7.78, repro,
2006-10-07,9.55, -10.34, -11.35, 2.07, 1.72, 7.92, repro,
2006-10-08,8.46, -9.61, -2.10, 2.09, 1.74, 8.05, repro,
2006-10-09,9.64, -11.58, -7.75, 2.18, 1.85, 8.45, repro,
2006-10-10,7.52, -11.03, -4.78, 2.01, 1.67, 7.61, repro,
2006-10-11,7.87, -11.23, -0.55, 2.03, 1.74, 7.85, repro,
2006-10-12,8.72, -10.66, 2.94, 2.03, 1.67, 7.65, repro,
2006-10-13,9.53, -10.75, 1.44, 2, 1.67, 7.6, repro,
2006-10-14,10.09, -10.78, -4.26, 2.02, 1.77, 7.95, repro,
2006-10-15,9.30, -10.45, 6.50, 2.02, 1.71, 7.75, repro,
2006-10-16,9.08, -10.45, 6.35, 2, 1.67, 7.58, repro,
2006-10-17,9.17, -12.10, 2.31, 2.06, 1.73, 7.91, repro,
2006-10-18,9.10, -9.15, -4.34, 1.99, 1.69, 7.65, repro,
2006-10-19,8.90, -10.03, -1.25, 2.17, 1.76, 8.35, repro,
2006-10-20,8.86, -11.23, -0.91, 2.23, 1.91, 9.08, repro,
2006-10-21,7.86, -11.61, -2.20, 2.13, 1.77, 8.31, repro,
2006-10-22,8.97, -11.95, -5.25, 1.98, 1.72, 7.7, repro,
2006-10-23,8.89, -12.21, -4.74, 2.05, 1.77, 7.95, repro,
2006-10-24,9.33, -10.95, -5.90, 2.06, 1.76, 7.94, repro,
2006-10-25,9.94, -10.58, -2.71, 2.05, 1.77, 7.87, repro,
